"Voter.ID","Permanent.Absentee","Registration.Date","Original.Registration.Date","Party","Precinct","Age","X6.22.2010","X11.2.2010","X9.13.2011","X11.8.2011","X6.26.2012","X11.6.2012","X8.13.2013","X11.5.2013","X6.24.2014","X11.4.2014","X8.11.2015","X11.3.2015","X6.28.2016","X11.8.2016","X8.15.2017","X11.7.2017","X6.26.2018","X11.6.2018","lon","lat","min.c.dist","Voted_X6.22.2010","Voted_X11.2.2010","Voted_X9.13.2011","Voted_X11.8.2011","Voted_X6.26.2012","Voted_X11.6.2012","Voted_X8.13.2013","Voted_X11.5.2013","Voted_X6.24.2014","Voted_X11.4.2014","Voted_X8.11.2015","Voted_X11.3.2015","Voted_X6.28.2016","Voted_X11.8.2016","Voted_X8.15.2017","Voted_X11.7.2017","Voted_X6.26.2018","Voted_X11.6.2018","X11.5.2019","Voted_X11.5.2019"
6441317,"","3/15/2016","1/15/2003","Democratic","SR01",34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11/8/2016",NA,NA,NA,NA,-111.9283784,40.3661226,1406.67113196166,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"11/4/2019",1
6522848,"YES","12/5/2018","9/15/2005","Democratic","SR01",34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11/8/2016",NA,NA,NA,"11/6/2018",-111.9283784,40.3661226,1406.67113196166,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,"11/4/2019",1
6501549,"","7/6/2012","10/13/2004","Republican","SR01",46,"6/22/2010","11/2/2010",NA,NA,"6/26/2012","10/31/2012",NA,NA,NA,"11/4/2014",NA,"11/3/2015","6/28/2016","11/8/2016",NA,"11/6/2017","6/21/2018","11/5/2018",-111.9372048,40.3785918,573.109039797274,1,1,0,0,1,1,0,0,0,1,0,1,1,1,0,1,1,1,"11/1/2019",1
4312144,"","11/19/2018","10/19/2004","Unaffiliated","SR01",43,NA,NA,NA,NA,NA,"11/6/2012",NA,NA,NA,"11/4/2014",NA,NA,NA,"11/8/2016",NA,NA,NA,"10/24/2018",-111.9384856,40.3748625,221.801174996266,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,NA,0
1529942,"","11/28/2012","10/10/2011","Unaffiliated","SR01",41,NA,NA,NA,NA,NA,"11/6/2012",NA,NA,NA,"11/4/2014",NA,"11/3/2015",NA,"11/8/2016",NA,NA,NA,"10/24/2018",-111.9384856,40.3748625,221.801174996266,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,NA,0
1916694,"","9/29/2016","9/29/2016","Unaffiliated","SR01",20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11/8/2016",NA,NA,NA,NA,-111.9384856,40.3748625,221.801174996266,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,0
3003897,"","11/18/2016","10/4/2007","Democratic","SR01",40,NA,"11/2/2010",NA,NA,NA,"11/2/2012",NA,NA,NA,"11/4/2014",NA,"10/12/2015",NA,"11/8/2016",NA,NA,NA,"10/25/2018",-111.9418858,40.3719839,270.553958481013,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,NA,0
3407084,"","3/2/2016","2/5/2008","Democratic","SR01",39,NA,"11/2/2010",NA,NA,NA,"11/6/2012",NA,NA,NA,"11/4/2014",NA,"10/12/2015",NA,"11/8/2016","8/15/2017",NA,NA,"10/26/2018",-111.9418858,40.3719839,270.553958481013,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,"10/30/2019",1
1675548,"YES","7/2/2018","4/1/2013","Libertarian","SR01",26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11/8/2016",NA,NA,"6/26/2018",NA,-111.9270277,40.3728858,1197.39368224162,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,NA,0
1995021,"","12/21/2016","12/21/2016","Unaffiliated","SR01",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11/1/2018",-111.9312196,40.3709895,909.503323178232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,0
